Código,Data Entrada,Produto,Nome Comercial,Categoria,Uso Principal,Quantidade,Validade,Lote,Preço Unit. (R$),Fornecedor,Email do Fornecedor
001,2025-03-22,Antipulgas,NexGard 68mg,Antiparasitário,Pulgas e carrapatos,52,2026-09-12,L001X8883,61.83,ClinPet Brasil,clinpetbrasil@animalmed.com
002,2025-02-03,Antipulgas,NexGard 68mg,Antiparasitário,Pulgas e carrapatos,35,2026-10-09,L002X3063,11.17,Animal Farma,animalfarma@vetprod.com
003,2025-01-03,Colírio,Tobrex Vet,Medicamento,Infecções oculares,60,2026-05-15,L003X1755,11.08,PetPlus Fornecimentos,petplusfornecimentos@saudevet.com.br
004,2025-02-03,Sedativo,Sedam 5ml,Medicamento,Sedação leve,30,2027-02-22,L004X9051,59.31,VetDistribui,vetdistribui@vetprod.com
005,2025-01-26,Antipulgas,NexGard 68mg,Antiparasitário,Pulgas e carrapatos,31,2026-01-24,L005X7411,36.76,VetDistribui,vetdistribui@saudevet.com.br
006,2024-10-28,Vermífugo,Endogard,Medicamento,Vermes intestinais,28,2026-12-21,L006X9824,39.15,VetDistribui,vetdistribui@pethealth.com
007,2025-01-12,Vermífugo,Endogard,Medicamento,Vermes intestinais,41,2026-08-20,L007X9608,65.39,PetPlus Fornecimentos,petplusfornecimentos@pethealth.com
008,2024-12-17,Vermífugo,Endogard,Medicamento,Vermes intestinais,10,2026-02-05,L008X9107,37.31,Animal Farma,animalfarma@animalmed.com
009,2024-10-13,Colírio,Tobrex Vet,Medicamento,Infecções oculares,44,2026-07-10,L009X2316,44.12,Animal Farma,animalfarma@vetprod.com
010,2024-10-10,Antibiótico,Baytril 150mg,Medicamento,Infecções bacterianas,18,2026-10-22,L010X2440,25.42,Animal Farma,animalfarma@vetprod.com
011,2025-03-31,Vacina,V10 Nobivac,Vacina,Prevenção viral,37,2027-05-25,L011X6209,73.67,BioVet Saúde Animal,biovetsaúdeanimal@animalmed.com
012,2025-03-10,Antibiótico,Baytril 150mg,Medicamento,Infecções bacterianas,13,2025-06-04,L012X5944,48.47,PetPlus Fornecimentos,petplusfornecimentos@animalmed.com
013,2025-03-27,Vermífugo,Endogard,Medicamento,Vermes intestinais,10,2027-02-02,L013X2124,42.27,ClinPet Brasil,clinpetbrasil@saudevet.com.br
014,2025-02-06,Colírio,Tobrex Vet,Medicamento,Infecções oculares,47,2025-10-25,L014X7020,72.28,ClinPet Brasil,clinpetbrasil@pethealth.com
015,2025-03-13,Vermífugo,Endogard,Medicamento,Vermes intestinais,41,2025-11-01,L015X6581,73.47,PetPlus Fornecimentos,petplusfornecimentos@pethealth.com
016,2024-10-22,Anti-inflamatório,Meloxinew 1mg,Medicamento,Dor e inflamação,22,2025-08-27,L016X2584,42.58,PetPlus Fornecimentos,petplusfornecimentos@pethealth.com
017,2024-10-18,Anti-inflamatório,Meloxinew 1mg,Medicamento,Dor e inflamação,17,2025-12-12,L017X9275,69.64,VetDistribui,vetdistribui@pethealth.com
018,2025-02-02,Pomada dermatológica,Otogen,Medicamento,Otites,44,2027-05-26,L018X6422,42.39,PetPlus Fornecimentos,petplusfornecimentos@pethealth.com
019,2024-10-23,Colírio,Tobrex Vet,Medicamento,Infecções oculares,38,2025-09-09,L019X7279,27.6,Animal Farma,animalfarma@pethealth.com
020,2024-10-02,Colírio,Tobrex Vet,Medicamento,Infecções oculares,57,2026-10-18,L020X3729,64.23,VetDistribui,vetdistribui@vetprod.com
