ORIGEM,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,TOTAL,MÉDIA,MÉDIA (SEM PICOS),SHARE (%)
Origem: Google,2831.0,9209.0,13085.0,6159.0,6983.0,834.0,5003.0,0.0,0.0,44104.0,4900.444444444444,4431.285714285715,31.11
Direto,4762.0,5942.0,8138.0,5597.0,10980.0,4938.0,2685.0,0.0,0.0,43042.0,4782.444444444444,4580.285714285715,30.36
Orgânico: Google,2828.0,4001.0,2652.0,6106.0,3032.0,3406.0,3225.0,0.0,0.0,25250.0,2805.5555555555557,2734.8571428571427,17.81
Encaminhamento: L.instagram.com,3472.0,651.0,3104.0,4279.0,1003.0,4885.0,910.0,0.0,0.0,18304.0,2033.7777777777778,1917.0,12.91
Origem: Meta-ads,398.0,1218.0,1481.0,0.0,353.0,0.0,0.0,0.0,0.0,3450.0,383.3333333333333,281.2857142857143,2.43
Origem: Ig,358.0,0.0,0.0,350.0,1375.0,0.0,0.0,0.0,0.0,2083.0,231.44444444444446,101.14285714285714,1.47
Origem: Facebook,0.0,130.0,0.0,388.0,1044.0,0.0,0.0,0.0,0.0,1562.0,173.55555555555554,74.0,1.1
Encaminhamento: Bing.com,0.0,197.0,67.0,841.0,302.0,0.0,0.0,0.0,0.0,1407.0,156.33333333333334,80.85714285714286,0.99
Encaminhamento: Instagram.com,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,78.33333333333333,0.0,0.5
Encaminhamento: Com.google.android.gm,0.0,0.0,373.0,0.0,0.0,193.0,0.0,0.0,0.0,566.0,62.888888888888886,27.571428571428573,0.4
Encaminhamento: Br.search.yahoo.com,60.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,381.0,42.333333333333336,8.571428571428571,0.27
Origem: Chatgpt.com,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,35.55555555555556,0.0,0.23
Encaminhamento: Search.google.com,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,23.333333333333332,0.0,0.15
Origem: IGShopping,0.0,0.0,0.0,50.0,0.0,138.0,0.0,0.0,0.0,188.0,20.88888888888889,7.142857142857143,0.13
Encaminhamento: Mail.uol.com.br,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,179.0,19.88888888888889,0.0,0.13
